dataset	strategy	questions	retr_p	retr_r	hit	util	lat_ms	cost	mem	sem_cov	sem	sem_pass	faith	ctx	ans
LoCoMo	no_memory	20	0.000	0.000	0.000	0.000	0.00	2.0	0	0.200	0.000	0.000	0.000	0.000	0.000
LoCoMo	verbatim	20	0.060	0.275	0.300	0.300	0.27	12.4	419	0.200	0.293	0.000	0.083	0.713	0.083
LoCoMo	extracted_facts	20	0.060	0.275	0.300	0.300	4.73	29.6	1282	0.200	0.279	0.000	0.083	0.671	0.083
LoCoMo	episodic	20	0.000	0.000	0.000	0.000	0.09	4.4	19	0.200	0.106	0.000	0.000	0.318	0.000
LoCoMo	hybrid	20	0.004	0.200	0.200	0.200	0.41	12.8	438	0.200	0.199	0.000	0.000	0.598	0.000
LongMemEval	no_memory	50	0.000	0.000	0.000	0.000	0.00	5.0	0	0.060	0.000	0.000	0.000	0.000	0.000
LongMemEval	verbatim	50	1.000	1.000	1.000	1.000	0.02	6.8	3	0.060	0.721	1.000	0.689	0.785	0.689
LongMemEval	extracted_facts	50	1.000	0.965	1.000	1.000	0.05	10.5	18	0.060	0.324	0.333	0.222	0.528	0.222
LongMemEval	episodic	50	1.000	1.000	1.000	1.000	0.03	6.8	3	0.060	0.227	0.000	0.189	0.303	0.189
LongMemEval	hybrid	50	1.000	1.000	1.000	1.000	0.06	6.9	6	0.060	0.721	1.000	0.689	0.785	0.689
MemoryArena	no_memory	50	0.000	0.000	0.000	0.000	0.00	5.0	0	0.060	0.000	0.000	0.000	0.000	0.000
MemoryArena	verbatim	50	0.800	0.800	0.800	0.800	0.03	6.0	1	0.060	0.347	0.000	0.347	0.346	0.347
MemoryArena	extracted_facts	50	0.800	0.800	0.800	0.800	0.05	10.3	6	0.060	0.245	0.000	0.252	0.230	0.252
MemoryArena	episodic	50	0.800	0.800	0.800	0.800	0.03	6.0	1	0.060	0.149	0.000	0.151	0.144	0.151
MemoryArena	hybrid	50	0.800	0.800	0.800	0.800	0.06	6.1	2	0.060	0.347	0.000	0.347	0.346	0.347
