dataset	strategy	questions	retr_p	retr_r	hit	util	lat_ms	cost	mem	sem_cov	sem	sem_pass	faith	ctx	ans
LoCoMo	no_memory	40	0.000	0.000	0.000	0.000	0.00	4.0	0	0.100	0.000	0.000	0.000	0.000	0.000
LoCoMo	verbatim	40	0.040	0.188	0.200	0.325	0.24	24.8	419	0.100	0.293	0.000	0.083	0.713	0.083
LoCoMo	extracted_facts	40	0.040	0.188	0.200	0.400	4.72	59.3	1282	0.100	0.279	0.000	0.083	0.671	0.083
LoCoMo	episodic	40	0.000	0.000	0.000	0.375	0.09	8.8	19	0.100	0.106	0.000	0.000	0.318	0.000
LoCoMo	hybrid	40	0.003	0.125	0.125	0.275	0.38	25.5	438	0.100	0.199	0.000	0.000	0.598	0.000
LongMemEval	no_memory	50	0.000	0.000	0.000	0.000	0.00	5.0	0	0.060	0.000	0.000	0.000	0.000	0.000
LongMemEval	verbatim	50	1.000	1.000	1.000	0.820	0.02	6.8	3	0.060	0.721	1.000	0.689	0.785	0.689
LongMemEval	extracted_facts	50	1.000	0.965	1.000	0.620	0.05	10.5	18	0.060	0.324	0.333	0.222	0.528	0.222
LongMemEval	episodic	50	1.000	1.000	1.000	0.580	0.02	6.8	3	0.060	0.227	0.000	0.189	0.303	0.189
LongMemEval	hybrid	50	1.000	1.000	1.000	0.820	0.06	6.9	6	0.060	0.721	1.000	0.689	0.785	0.689
MemoryArena	no_memory	86	0.000	0.000	0.000	0.000	0.00	8.6	0	0.035	0.000	0.000	0.000	0.000	0.000
MemoryArena	verbatim	86	0.814	0.814	0.814	0.965	0.03	10.4	1	0.035	0.347	0.000	0.347	0.346	0.347
MemoryArena	extracted_facts	86	0.814	0.814	0.814	0.907	0.05	17.7	6	0.035	0.245	0.000	0.252	0.230	0.252
MemoryArena	episodic	86	0.814	0.814	0.814	0.791	0.03	10.4	1	0.035	0.149	0.000	0.151	0.144	0.151
MemoryArena	hybrid	86	0.814	0.814	0.814	0.965	0.07	10.5	2	0.035	0.347	0.000	0.347	0.346	0.347
